Race Date,Race Class,Race Distance,Place,Horse No,Horse Name,Jockey,Trainer,Actual Weight,Declared Weight,Draw,LBW,Running Position,Finish Time,Win Odds
2024/09/08,第五班,1600,6,10,領航傳祺 (G126),潘明輝,鄭俊偉,124,1129,5,2-3/4,"9                                                        

8                                                        

6                                                        

69866",1:35.50,9.6
2024/09/08,第五班,1600,7,4,同寶寶 (H386),巴度,伍鵬志,134,1093,8,3-1/4,"3                                                        

3                                                        

2                                                        

73327",1:35.60,9.7
2024/09/08,第五班,1600,8,1,神煞金剛 (H202),艾兆禮,葉楚航,135,1121,13,5,"13                                                        

13                                                        

12                                                        

81313128",1:35.89,52
2024/09/08,第五班,1600,9,7,竣誠駒 (H486),艾道拿,告東尼,130,1158,9,6,"6                                                        

7                                                        

9                                                        

96799",1:36.02,17
2024/09/08,第五班,1600,10,13,開心漢子 (H101),梁家俊,文家良,119,1208,7,7-1/2,"2                                                        

2                                                        

3                                                        

1022310",1:36.29,24
2024/09/08,第五班,1600,11,3,朗日雪峰 (J187),黃智弘,方嘉柏,128,1242,2,10-1/4,"1                                                        

1                                                        

1                                                        

1111111",1:36.73,30
2024/09/08,第五班,1600,12,12,皮具大師 (H034),湯普新,容天鵬,122,1122,3,11-1/4,"5                                                        

5                                                        

7                                                        

1255712",1:36.86,11
2024/09/08,第五班,1600,13,9,神虎金剛 (J064),楊明綸,葉楚航,129,1225,10,20-1/4,"12                                                        

12                                                        

13                                                        

1312121313",1:38.30,131
2024/07/14,第五班,1200,1,11,飛躍精英 (H247),布文,賀賢,127,1080,7,-,"6                                                        

4                                                        

1641",1:09.43,11
2024/07/14,第五班,1200,2,2,欣樂人生 (H426),梁家俊,姚本輝,135,1131,12,2,"2                                                        

2                                                        

2222",1:09.74,7.3
2024/07/14,第五班,1200,3,7,南區旺 (H178),田泰安,羅富全,130,1053,10,2-3/4,"1                                                        

1                                                        

3113",1:09.86,5.4
2024/07/14,第五班,1200,4,3,戰鬥英雄 (D050),陳嘉熙,方嘉柏,130,1080,11,3-1/4,"5                                                        

7                                                        

4574",1:09.96,12
2024/07/14,第五班,1200,5,4,青春力量 (H358),湯普新,大衛希斯,134,1028,3,4,"7                                                        

6                                                        

5765",1:10.08,43
2024/07/14,第五班,1200,6,1,馬特峰 (H253),楊明綸,蘇偉賢,135,1044,13,4,"12                                                        

11                                                        

612116",1:10.08,27
2024/07/14,第五班,1200,7,12,帝豪歡星 (H248),希威森,鄭俊偉,122,1060,8,4-1/4,"8                                                        

9                                                        

7897",1:10.13,11
2024/07/14,第五班,1200,8,9,世界籐王 (G384),董明朗,黎昭昇,129,1063,1,4-1/2,"11                                                        

10                                                        

811108",1:10.14,5.8
2024/07/14,第五班,1200,9,5,佳景臨門 (H154),艾兆禮,葉楚航,133,1029,4,5,"9                                                        

8                                                        

9989",1:10.22,6.5
2024/07/14,第五班,1200,10,14,綫路光明 (E482),巴度,容天鵬,115,1033,9,7-1/4,"3                                                        

3                                                        

103310",1:10.60,27
2024/07/14,第五班,1200,11,13,皇龍帝國 (E211),巫顯東,徐雨石,113,1173,5,8-1/4,"10                                                        

12                                                        

11101211",1:10.77,7.3
2024/07/14,第五班,1200,12,6,合金皇 (D287),班德禮,丁冠豪,130,1105,6,9-1/4,"4                                                        

5                                                        

124512",1:10.90,15
2024/07/14,第五班,1200,13,8,電子達人 (H310),鍾易禮,文家良,126,1160,2,20-1/2,"13                                                        

13                                                        

13131313",1:12.70,92
2024/07/14,第五班,1200,WV-A,10,最多歡笑 (G251),蔡明紹,巫偉傑,129,---,---,---,,---,---
2024/07/10,第五班,1000,1,10,友誼至佳 (E208),田泰安,韋達,118,1168,2,-,"9                                                        

4                                                        

1941",0:56.83,19
2024/07/10,第五班,1000,2,1,中華威威 (D075),黃智弘,徐雨石,128,1245,1,1/2,"3                                                        

3                                                        

2332",0:56.92,2.7
2024/07/10,第五班,1000,3,5,威武良駒 (H434),蔡明紹,姚本輝,132,1074,9,1-3/4,"10                                                        

7                                                        

31073",0:57.11,58
2024/07/10,第五班,1000,4,3,同滿滿 (G400),霍宏聲,伍鵬志,134,1083,11,2,"1                                                        

1                                                        

4114",0:57.14,10
2024/07/10,第五班,1000,5,7,魅力一丁 (G278),何澤堯,呂健威,129,1116,7,2-3/4,"12                                                        

12                                                        

512125",0:57.27,11
2024/07/10,第五班,1000,6,9,威望 (H314),賀銘年,葉楚航,122,1081,6,3-1/4,"11                                                        

11                                                        

611116",0:57.36,47
2024/07/10,第五班,1000,7,8,萬事有 (D443),潘頓,容天鵬,123,1217,4,4,"4                                                        

5                                                        

7457",0:57.48,6.8
2024/07/10,第五班,1000,8,11,月球 (D409),湯普新,黎昭昇,117,1145,12,6,"8                                                        

10                                                        

88108",0:57.79,37
2024/07/10,第五班,1000,9,12,錢途光明 (G423),潘明輝,丁冠豪,114,1049,3,6-3/4,"6                                                        

8                                                        

9689",0:57.89,5.7
